MouseNo,Group,AromataseAct.avg,qPCR.Aromatase,qPCR.15PGDH,qPCR.BRCA1,Prostag.Protein,Prostag.6ketoPGF1alpha
1,A,94.33,4.5,6.2,1.9,189.2,0.312
2,A,91.9,3.21,7.5,2.11,124.8,0.766
3,A,101.78,3.7,5.8,3.1,95.2,0.460
4,A,104.56,4.4,6.5,1.67,177.9,1.303
5,A,98.67,3.11,5.4,2.32,60.6,0.953
6,A,94.67,4.65,6.3,3.2,117.5,0.638
7,A,107.4,3.55,5.7,2.4,152.1,0.346
8,A,95.6,3.3,6.1,3.1,229.7,0.713
9,A,97.9,2.98,7.6,2.6,240.4,1.719
10,A,103.4,3.4,5.8,2.2,328.4,0.700
21,B,94.5,4.18,5.7,1.7,98.1,0.846
22,B,93.2,3.17,6.9,2.01,338.4,2.709
23,B,86.9,3.2,5.3,2.9,161.6,0.826
24,B,102,4.1,5.7,2,154.5,1.565
25,B,85.9,2.8,6.4,2.55,113.8,0.768
26,B,96.9,4,5.9,3.5,237.4,1.434
27,B,89.45,3.4,5.3,2.7,87.7,2.037
28,B,92.11,3.22,5.7,2.8,97.6,0.793
29,B,95.6,2.62,7.4,4.3,170.3,0.272
30,B,98,2.65,6.4,2.1,172.3,1.968
41,C,61.2,3.24,11.78,3.9,94.0,0.896
42,C,67.4,2.15,17.25,5.25,177.7,3.067
43,C,59.6,1.99,14.21,6.5,175.3,1.477
44,C,64.3,2.816,13.6,3.04,70.3,1.692
45,C,54.9,1.83,10.09,5.3,140.4,0.928
46,C,67.4,2.55,13.23,6.08,105.3,3.333
47,C,71.2,2.52,9.6,4.08,140.9,0.154
48,C,54.8,1.91,10.6,7.13,81.1,2.277
49,C,65.44,1.87,16.6,4.68,142.6,0.310
50,C,63,2.2,10.5,7.4,197.9,3.148
61,D,39,1.57,18.02,5.9,122.0,0.202
62,D,44.9,1.44,24.2,4.4,114.7,2.808
63,D,45.7,1.66,18.5,9.2,158.4,0.108
64,D,43.2,2.11,20.4,5.8,142.8,0.198
65,D,39.5,1.58,14.9,6.6,59.9,0.299
66,D,41.2,1.44,17.01,11.2,85.5,0.119
67,D,40.55,1.49,20.52,7.68,74.8,0.650
68,D,41.55,1.18,19,11.7,307.7,6.661
69,D,42.99,1.16,23.6,8.8,59.4,1.009
70,D,41.8,1.49,15.6,7.04,90.4,4.377
